Ride,Date-Time,Wait Time
Pirates of the Caribbean,2020-01-01 19:10,35
Pirates of the Caribbean,2020-01-01 19:15,35
Pirates of the Caribbean,2020-01-01 19:20,35
Pirates of the Caribbean,2020-01-01 19:25,30
Pirates of the Caribbean,2020-01-01 19:30,30
Pirates of the Caribbean,2020-01-01 19:35,30
Pirates of the Caribbean,2020-01-01 19:40,30
Pirates of the Caribbean,2020-01-01 19:45,25
Pirates of the Caribbean,2020-01-01 19:50,15
Pirates of the Caribbean,2020-01-01 20:00,15
Pirates of the Caribbean,2020-01-01 20:05,15
Pirates of the Caribbean,2020-01-01 20:10,20
Pirates of the Caribbean,2020-01-01 20:15,20
Pirates of the Caribbean,2020-01-01 20:20,15
Pirates of the Caribbean,2020-01-01 20:25,15
Pirates of the Caribbean,2020-01-01 20:30,20
Pirates of the Caribbean,2020-01-01 20:35,20
Pirates of the Caribbean,2020-01-01 20:40,20
Pirates of the Caribbean,2020-01-01 20:45,30
Pirates of the Caribbean,2020-01-01 20:50,30
Pirates of the Caribbean,2020-01-01 20:55,25
Pirates of the Caribbean,2020-01-01 21:00,25
Pirates of the Caribbean,2020-01-01 21:05,25
Pirates of the Caribbean,2020-01-01 21:10,25
Pirates of the Caribbean,2020-01-01 21:15,25
Pirates of the Caribbean,2020-01-01 21:20,20
Pirates of the Caribbean,2020-01-01 21:25,20
Pirates of the Caribbean,2020-01-01 21:30,20
Pirates of the Caribbean,2020-01-01 21:35,20
Pirates of the Caribbean,2020-01-01 21:40,15
Pirates of the Caribbean,2020-01-01 21:45,15
Pirates of the Caribbean,2020-01-01 21:50,15
Pirates of the Caribbean,2020-01-01 21:55,15
Pirates of the Caribbean,2020-01-01 22:00,15
Pirates of the Caribbean,2020-01-01 22:05,15
Pirates of the Caribbean,2020-01-01 22:10,10
Pirates of the Caribbean,2020-01-01 22:15,10
Pirates of the Caribbean,2020-01-01 22:20,10
Pirates of the Caribbean,2020-01-01 22:25,10
Pirates of the Caribbean,2020-01-01 22:30,15
Pirates of the Caribbean,2020-01-01 22:35,10
Pirates of the Caribbean,2020-01-01 22:40,10
Pirates of the Caribbean,2020-01-01 22:45,10
Pirates of the Caribbean,2020-01-01 22:50,10
Pirates of the Caribbean,2020-01-01 22:55,10
Pirates of the Caribbean,2020-01-01 23:00,10
Pirates of the Caribbean,2020-01-01 23:05,10
Pirates of the Caribbean,2020-01-01 23:10,5
Pirates of the Caribbean,2020-01-01 23:15,5
Pirates of the Caribbean,2020-01-01 23:20,5
Pirates of the Caribbean,2020-01-01 23:25,10
Pirates of the Caribbean,2020-01-01 23:30,10
Pirates of the Caribbean,2020-01-01 23:35,10
Pirates of the Caribbean,2020-01-01 23:40,10
Pirates of the Caribbean,2020-01-01 23:45,10
Pirates of the Caribbean,2020-01-01 23:50,10
Pirates of the Caribbean,2020-01-01 23:55,10
Pirates of the Caribbean,2020-01-02 9:00,5
Pirates of the Caribbean,2020-01-02 9:05,10
Pirates of the Caribbean,2020-01-02 9:10,10
Pirates of the Caribbean,2020-01-02 9:15,10
Pirates of the Caribbean,2020-01-02 9:20,10
Pirates of the Caribbean,2020-01-02 9:25,10
Pirates of the Caribbean,2020-01-02 9:30,10
Pirates of the Caribbean,2020-01-02 9:35,10
Pirates of the Caribbean,2020-01-02 9:40,10
Pirates of the Caribbean,2020-01-02 9:45,15
Pirates of the Caribbean,2020-01-02 9:50,15
Pirates of the Caribbean,2020-01-02 9:55,35
Pirates of the Caribbean,2020-01-02 10:00,35
Pirates of the Caribbean,2020-01-02 10:05,55
Pirates of the Caribbean,2020-01-02 10:10,45
Pirates of the Caribbean,2020-01-02 10:15,50
Pirates of the Caribbean,2020-01-02 10:20,50
Pirates of the Caribbean,2020-01-02 10:25,50
Pirates of the Caribbean,2020-01-02 10:30,60
Pirates of the Caribbean,2020-01-02 10:35,60
Pirates of the Caribbean,2020-01-02 10:40,70
Pirates of the Caribbean,2020-01-02 10:45,70
Pirates of the Caribbean,2020-01-02 10:50,70
Pirates of the Caribbean,2020-01-02 10:55,70
Pirates of the Caribbean,2020-01-02 11:05,70
Pirates of the Caribbean,2020-01-02 11:10,70
Pirates of the Caribbean,2020-01-02 11:15,70
Pirates of the Caribbean,2020-01-02 11:20,70
Pirates of the Caribbean,2020-01-02 11:25,70
Pirates of the Caribbean,2020-01-02 11:30,70
Pirates of the Caribbean,2020-01-02 11:35,70
Pirates of the Caribbean,2020-01-02 11:40,70
Pirates of the Caribbean,2020-01-02 11:45,70
Pirates of the Caribbean,2020-01-02 11:50,70
Pirates of the Caribbean,2020-01-02 11:55,75
Pirates of the Caribbean,2020-01-02 12:05,60
Pirates of the Caribbean,2020-01-02 12:10,70
Pirates of the Caribbean,2020-01-02 12:15,70
Pirates of the Caribbean,2020-01-02 12:20,70
Pirates of the Caribbean,2020-01-02 12:25,70
Pirates of the Caribbean,2020-01-02 12:30,50
Pirates of the Caribbean,2020-01-02 12:35,55
Pirates of the Caribbean,2020-01-02 12:40,55
Pirates of the Caribbean,2020-01-02 12:45,80
Pirates of the Caribbean,2020-01-02 12:50,80
Pirates of the Caribbean,2020-01-02 12:55,90
Pirates of the Caribbean,2020-01-02 13:00,90
Pirates of the Caribbean,2020-01-02 13:05,90
Pirates of the Caribbean,2020-01-02 13:10,70
Pirates of the Caribbean,2020-01-02 13:15,70
Pirates of the Caribbean,2020-01-02 13:20,90
Pirates of the Caribbean,2020-01-02 13:25,75
Pirates of the Caribbean,2020-01-02 13:30,75
Pirates of the Caribbean,2020-01-02 13:35,75
Pirates of the Caribbean,2020-01-02 13:40,85
Pirates of the Caribbean,2020-01-02 13:45,85
Pirates of the Caribbean,2020-01-02 13:50,80
Pirates of the Caribbean,2020-01-02 13:55,80
Pirates of the Caribbean,2020-01-02 14:00,80
Pirates of the Caribbean,2020-01-02 14:05,70
Pirates of the Caribbean,2020-01-02 14:10,70
Pirates of the Caribbean,2020-01-02 14:15,60
Pirates of the Caribbean,2020-01-02 14:20,60
Pirates of the Caribbean,2020-01-02 14:25,65
Pirates of the Caribbean,2020-01-02 14:30,65
Pirates of the Caribbean,2020-01-02 14:35,65
Pirates of the Caribbean,2020-01-02 14:40,65
Pirates of the Caribbean,2020-01-02 14:45,75
Pirates of the Caribbean,2020-01-02 14:50,75
Pirates of the Caribbean,2020-01-02 14:55,70
Pirates of the Caribbean,2020-01-02 15:00,70
Pirates of the Caribbean,2020-01-02 15:05,70
Pirates of the Caribbean,2020-01-02 15:10,70
Pirates of the Caribbean,2020-01-02 15:15,75
Pirates of the Caribbean,2020-01-02 15:20,75
Pirates of the Caribbean,2020-01-02 15:25,70
